Spanish,English
el/la,he/she
de,of
que,what
y,and
en,in
un,and
ser,to be
a,a
él,he
lo,it
no,no
su,are
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,have
como,as
estar,be
me,me
más,further
este,It is
le,the
hacer,do
se,with
yo,they
o,O
pero,but
decir,say
poder,can
ir,and
ese,that
otro,other
si,and
mi,me
ver,to see
ya,of
porque,why
mucho,a lot
dar,but
muy,very
saber,to know
sí,Yeah
año,year
ti,of
te,the
también,also
qué,that
alguno,some
nos,us
tu,That
sin,sin
mismo,same
eso,it's
cuando,when
querer,to want
vez,turn
hasta,until
la,the
sobre,about
entre,in between
dos,of the
día,day
grande,big
así,So
pasar,market
cosa,What
desde,from
deber,duty
ella,she
pues,well/since/then
entonces,so
llegar,arrive
poco,bit
nuestro,our
bien,GOOD
ni,in
tiempo,time
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,leave
nada,anything
tanto,so much
parecer,seem
hablar,talk
poner,put
parte,part
eh,Eh
nuevo,new
sólo,only
siempre,always
hombre,man
bueno,Well
seguir,follow
quedar,meet
llevar,carry
encontrar,meet
bueno,Well
tan,tan
pensar,think
casa,House
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,go out
después,after
mejor,better
menos,any less
venir,come
forma,form
mujer,women
momento,time
llamar,call
mundo,world
claro,Of course
mirar,look
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,although
quien,who
tomar,to take
tres,three
mano,thousand
sentir,to feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,deal with
vivir,live
sino,but
lugar,place
problema,problem
hacia,toward
presidente,chairman
cual,which
junto,together
luego,then
cómo,as
trabajo,job
caso,case
mayor,mayor
además,besides
acercar,zoom in
esperar,wait
nunca,Never
cierto,TRUE
hora,hour
dónde,where
padre,father
gustar,like
noche,evening
nosotros,us
casi,almost
hoy,today
tipo,type
ojo,look like
manera,manner
importante,important
contar,tell
niño,child
trabajar,work
empezar,begin
verdad,TRUE
contra,against
ciudad,city
buscar,look for
ahí,there
solo,Alone
fin,END
propio,propy
tú,you
gobierno,government
historia,history
ejemplo,example
último,last
punto,point
antes,before
mil,thousand
palabra,word
obra,constructions
existir,exist
perder,lose
cuenta,account
allí,over there
escribir,write
cualquiera,any
grupo,group
señor,Sir
pequeño,little
embargo,embargo
agua,water
realizar,accomplish
nadie,nobody
entrar,to enter
arte,art
leer,file
amigo,friend
recordar,remember
morir,die
único,single
lado,side
nombre,name
recibir,receive
pedir,ask
permitir,to allow
preguntar,ask
social,social
sistema,system
tal,turn
segundo,second
ante,in view of
viejo,old
madre,mother
siglo,century
nacional,national
entender,to understand
libro,book
alto,high
cuerpo,body
familia,family
comenzar,begin
presentar,introduce
bajo,low
según,according to
frente,forehead
crear,create
tema,her
cuatro,four
ah,like
humano,human
pueblo,town
producir,produce
abrir,Open
idea,idea
millón,million
sentar,to sit
aún,still
caer,fall
voz,voice
terminar,finish
oír,hear
cambiar,change
ninguno,none
considerar,consider
político,political
tierra,land
realidad,reality
convertir,convert
español,Spanish
igual,equal
todavía,still
cabeza,head
derecho,right
mantener,keep
utilizar,use
calle,street
través,through
estado,state
relación,relationship
sacar,to withdraw
puerta,door
gracias,thank you
necesitar,need
resultar,to result
luz,light
paso,passed
general,general
escuchar,Scuchar
guerra,war
amor,love
cinco,five
situación,situating
conseguir,get
lograr,achieve
mes,We
quién,who
fuerza,force
ocurrir,occur
aparecer,to appear
diferente,different
muerte,death
ganar,gain/win
estudio,study
nivel,level
proceso,process
fuera,out
largo,long
semana,week
partido,broken
acabar,finish
explicar,explain
cuyo,whose
razón,reason
negro,negro
bastante,quite
efecto,effect
servicio,service
formar,to form
económico,economic
servir,serve
allá,there
empresa,company
centro,center
usar,to use
tras,after
cambio,change
clase,class
distinto,distinct
animal,animal
hecho,made
número,number
dicho,saying
información,information
tocar,tap
ayudar,help
público,public
mostrar,Show
mas,but
estudiar,study
hermano,brother
ley,law
sentido,sense
incluso,even
cara,method
principio,principle
programa,program
música,music
traer,bring
campo,field
correr,run
actividad,activity
quizás,maybe
alguien,someone
comer,eat
acuerdo,agreement
demás,the rest
siguiente,following
ofrecer,offer
poder,can
sociedad,society
levantar,rise
dios,God
jugar,play
época,era
color,color
zona,zone
malo,room
comprar,purchase
necesario,necessary
camino,path
dinero,money
pie,near
final,final
tampoco,neither
decidir,decide
desarrollo,development
movimiento,motion
alcanzar,reach
blanco,white
equipo,equipment
difícil,difficult
desarrollar,develop
pronto,ready
pagar,pay
principal,principal
proyecto,project
valor,value
meter,meter
realmente,really
sol,sun
imagen,image
cumplir,achieve
varios,several
universidad,university
interés,interest
mayoría,most/majority
dirigir,lead
ello,it
tarde,afternoon
papel,paper
producto,product
medio,half
continuar,Continue
modo,way
rico,rico
ojalá,I wish
reconocer,recognize
